obsnme,obsval,weight,obgnme
in_sfr_flx_20171130,0.0,1.0,in_sfr
in_sfr_flx_20171231,0.0,1.0,in_sfr
in_ss_flx_20151231,0.0,1.0,in_ss
in_ss_flx_20160131,0.0,1.0,in_ss
in_ss_flx_20160229,0.0,1.0,in_ss
in_ss_flx_20160331,0.0,1.0,in_ss
in_ss_flx_20160430,1.2331,1.0,in_ss
in_ss_flx_20160531,6.4314,1.0,in_ss
in_ss_flx_20160630,10.5835,1.0,in_ss
in_ss_flx_20160731,11.0746,1.0,in_ss
in_ss_flx_20160831,10.0042,1.0,in_ss
in_ss_flx_20160930,5.9466,1.0,in_ss
in_ss_flx_20161031,0.7247,1.0,in_ss
in_ss_flx_20161130,0.0,1.0,in_ss
in_ss_flx_20161231,0.0,1.0,in_ss
in_ss_flx_20170131,0.0,1.0,in_ss
in_ss_flx_20170228,0.0,1.0,in_ss
in_ss_flx_20170331,0.0,1.0,in_ss
in_ss_flx_20170430,1.6567,1.0,in_ss
in_ss_flx_20170531,7.1564,1.0,in_ss
in_ss_flx_20170630,10.8232,1.0,in_ss
in_ss_flx_20170731,11.2669,1.0,in_ss
in_ss_flx_20170831,8.397,1.0,in_ss
in_ss_flx_20170930,3.1762,1.0,in_ss
in_ss_flx_20171031,0.035376,1.0,in_ss
in_ss_flx_20171130,0.0,1.0,in_ss
in_ss_flx_20171231,0.0,1.0,in_ss
in_sy_flx_20151231,0.0,1.0,in_sy
in_sy_flx_20160131,0.0,1.0,in_sy
in_sy_flx_20160229,0.0,1.0,in_sy
in_sy_flx_20160331,0.0,1.0,in_sy
in_sy_flx_20160430,182.94,1.0,in_sy
in_sy_flx_20160531,985.9429,1.0,in_sy
in_sy_flx_20160630,1640.2262,1.0,in_sy
in_sy_flx_20160731,1733.9373,1.0,in_sy
in_sy_flx_20160831,1573.9195,1.0,in_sy
in_sy_flx_20160930,945.6272,1.0,in_sy
in_sy_flx_20161031,122.1176,1.0,in_sy
in_sy_flx_20161130,0.0,1.0,in_sy
in_sy_flx_20161231,0.0,1.0,in_sy
in_sy_flx_20170131,0.0,1.0,in_sy
in_sy_flx_20170228,0.0,1.0,in_sy
in_sy_flx_20170331,0.0,1.0,in_sy
in_sy_flx_20170430,248.2652,1.0,in_sy
in_sy_flx_20170531,1100.7944,1.0,in_sy
in_sy_flx_20170630,1680.1142,1.0,in_sy
in_sy_flx_20170731,1762.4623,1.0,in_sy
in_sy_flx_20170831,1324.735,1.0,in_sy
in_sy_flx_20170930,510.983,1.0,in_sy
in_sy_flx_20171031,6.2691,1.0,in_sy
in_sy_flx_20171130,0.0,1.0,in_sy
in_sy_flx_20171231,0.0,1.0,in_sy
in_wel_flx_20151231,0.0,1.0,in_wel
in_wel_flx_20160131,0.0,1.0,in_wel
in_wel_flx_20160229,0.0,1.0,in_wel
in_wel_flx_20160331,0.0,1.0,in_wel
in_wel_flx_20160430,0.0,1.0,in_wel
in_wel_flx_20160531,0.0,1.0,in_wel
in_wel_flx_20160630,0.0,1.0,in_wel
in_wel_flx_20160731,0.0,1.0,in_wel
in_wel_flx_20160831,0.0,1.0,in_wel
in_wel_flx_20160930,0.0,1.0,in_wel
in_wel_flx_20161031,0.0,1.0,in_wel
in_wel_flx_20161130,0.0,1.0,in_wel
in_wel_flx_20161231,0.0,1.0,in_wel
in_wel_flx_20170131,0.0,1.0,in_wel
in_wel_flx_20170228,0.0,1.0,in_wel
in_wel_flx_20170331,0.0,1.0,in_wel
in_wel_flx_20170430,0.0,1.0,in_wel
in_wel_flx_20170531,0.0,1.0,in_wel
in_wel_flx_20170630,0.0,1.0,in_wel
in_wel_flx_20170731,0.0,1.0,in_wel
in_wel_flx_20170831,0.0,1.0,in_wel
in_wel_flx_20170930,0.0,1.0,in_wel
in_wel_flx_20171031,0.0,1.0,in_wel
in_wel_flx_20171130,0.0,1.0,in_wel
in_wel_flx_20171231,0.0,1.0,in_wel
out_ghb_flx_20151231,435.3062,1.0,out_ghb
out_ghb_flx_20160131,548.6001,1.0,out_ghb
out_ghb_flx_20160229,632.9828,1.0,out_ghb
out_ghb_flx_20160331,671.7239,1.0,out_ghb
out_ghb_flx_20160430,647.8954,1.0,out_ghb
out_ghb_flx_20160531,567.1513,1.0,out_ghb
out_ghb_flx_20160630,454.1132,1.0,out_ghb
out_ghb_flx_20160731,342.7282,1.0,out_ghb
out_ghb_flx_20160831,251.0578,1.0,out_ghb
out_ghb_flx_20160930,208.2505,1.0,out_ghb
out_ghb_flx_20161031,226.8208,1.0,out_ghb
out_ghb_flx_20161130,302.678,1.0,out_ghb
out_ghb_flx_20161231,416.8722,1.0,out_ghb
out_ghb_flx_20170131,533.7439,1.0,out_ghb
out_ghb_flx_20170228,613.8973,1.0,out_ghb
out_ghb_flx_20170331,646.7346,1.0,out_ghb
out_ghb_flx_20170430,615.7336,1.0,out_ghb
out_ghb_flx_20170531,528.8269,1.0,out_ghb
out_ghb_flx_20170630,415.4898,1.0,out_ghb
out_ghb_flx_20170731,302.9925,1.0,out_ghb
out_ghb_flx_20170831,228.0541,1.0,out_ghb
out_ghb_flx_20170930,212.5933,1.0,out_ghb
out_ghb_flx_20171031,261.1392,1.0,out_ghb
out_ghb_flx_20171130,357.0262,1.0,out_ghb
out_ghb_flx_20171231,476.5303,1.0,out_ghb
out_rch_flx_20151231,0.0,1.0,out_rch
out_rch_flx_20160131,0.0,1.0,out_rch
out_rch_flx_20160229,0.0,1.0,out_rch
out_rch_flx_20160331,0.0,1.0,out_rch
out_rch_flx_20160430,0.0,1.0,out_rch
out_rch_flx_20160531,0.0,1.0,out_rch
out_rch_flx_20160630,0.0,1.0,out_rch
out_rch_flx_20160731,0.0,1.0,out_rch
out_rch_flx_20160831,0.0,1.0,out_rch
out_rch_flx_20160930,0.0,1.0,out_rch
out_rch_flx_20161031,0.0,1.0,out_rch
out_rch_flx_20161130,0.0,1.0,out_rch
out_rch_flx_20161231,0.0,1.0,out_rch
out_rch_flx_20170131,0.0,1.0,out_rch
out_rch_flx_20170228,0.0,1.0,out_rch
out_rch_flx_20170331,0.0,1.0,out_rch
out_rch_flx_20170430,0.0,1.0,out_rch
out_rch_flx_20170531,0.0,1.0,out_rch
out_rch_flx_20170630,0.0,1.0,out_rch
out_rch_flx_20170731,0.0,1.0,out_rch
out_rch_flx_20170831,0.0,1.0,out_rch
out_rch_flx_20170930,0.0,1.0,out_rch
out_rch_flx_20171031,0.0,1.0,out_rch
out_rch_flx_20171130,0.0,1.0,out_rch
out_rch_flx_20171231,0.0,1.0,out_rch
out_sfr_flx_20151231,1121.6742,1.0,out_sfr
out_sfr_flx_20160131,1503.5288,1.0,out_sfr
out_sfr_flx_20160229,1796.9334,1.0,out_sfr
out_sfr_flx_20160331,1942.8638,1.0,out_sfr
out_sfr_flx_20160430,1874.9752,1.0,out_sfr
out_sfr_flx_20160531,1609.7696,1.0,out_sfr
out_sfr_flx_20160630,1230.0469,1.0,out_sfr
out_sfr_flx_20160731,854.2468,1.0,out_sfr
out_sfr_flx_20160831,530.7742,1.0,out_sfr
out_sfr_flx_20160930,367.2711,1.0,out_sfr
out_sfr_flx_20161031,406.4803,1.0,out_sfr
out_sfr_flx_20161130,642.3895,1.0,out_sfr
out_sfr_flx_20161231,1023.2894,1.0,out_sfr
out_sfr_flx_20170131,1430.2971,1.0,out_sfr
out_sfr_flx_20170228,1720.5958,1.0,out_sfr
out_sfr_flx_20170331,1855.5898,1.0,out_sfr
out_sfr_flx_20170430,1767.7708,1.0,out_sfr
out_sfr_flx_20170531,1479.9154,1.0,out_sfr
out_sfr_flx_20170630,1093.4213,1.0,out_sfr
out_sfr_flx_20170731,702.8396,1.0,out_sfr
out_sfr_flx_20170831,435.6317,1.0,out_sfr
out_sfr_flx_20170930,362.6049,1.0,out_sfr
out_sfr_flx_20171031,504.893,1.0,out_sfr
out_sfr_flx_20171130,816.5509,1.0,out_sfr
out_sfr_flx_20171231,1225.4711,1.0,out_sfr
out_ss_flx_20151231,0.0,1.0,out_ss
out_ss_flx_20160131,10.0857,1.0,out_ss
out_ss_flx_20160229,9.0911,1.0,out_ss
out_ss_flx_20160331,5.0222,1.0,out_ss
out_ss_flx_20160430,0.5207,1.0,out_ss
out_ss_flx_20160531,0.0,1.0,out_ss
out_ss_flx_20160630,0.0,1.0,out_ss
out_ss_flx_20160731,0.0,1.0,out_ss
out_ss_flx_20160831,0.0,1.0,out_ss
out_ss_flx_20160930,0.0,1.0,out_ss
out_ss_flx_20161031,0.6793,1.0,out_ss
out_ss_flx_20161130,5.9055,1.0,out_ss
out_ss_flx_20161231,10.1774,1.0,out_ss
out_ss_flx_20170131,11.4394,1.0,out_ss
out_ss_flx_20170228,9.5835,1.0,out_ss
out_ss_flx_20170331,4.7781,1.0,out_ss
out_ss_flx_20170430,0.2999,1.0,out_ss
